,01_6,03_2,06_4
stp-membus-00,1.02255397004,1.01437565285,1.00921419328
stp-membus-01,0.999969769997,0.990800553686,0.977898122365
stp-membus-02,1.02090955831,1.01692752029,1.00755432817
stp-membus-03,0.99580698858,0.998036600956,0.999964729039
stp-membus-04,1.00008155636,1.00179598069,1.00253277201
stp-membus-05,1.05095685923,1.03503110055,1.02190715779
hms-membus-00,1.01777379983,1.01318405565,1.00906053007
hms-membus-01,1.02706581542,1.01572404221,1.00293253909
hms-membus-02,1.04878089045,1.04207876339,1.02790018618
hms-membus-03,1.03557429879,1.02522400157,1.01733570669
hms-membus-04,1.00264068894,1.00414839459,1.00635486375
hms-membus-05,1.06587029171,1.0525114076,1.03712293807